19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,23/05/1986,91,5.7,JoBeth Williams,20669,Mark Victor,1986,21996665,May,115.7719211,317.576579,11147.55249,0.000299906
1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,17/01/1986,82,4.3,Michael Moriarty,7569,Ed Naha,1986,4350815,Jan,395.5286364,317.576579,11147.55249,0.000688749
111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,7/9/1990,83,7,Michael Rooker,25367,Richard Fire,1986,498939,Sep,449.4945946,317.576579,11147.55249,0.000763758
18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,6/6/1986,107,5.6,Kate Capshaw,11484,Clifford Green,1986,-8302261,Jun,-46.12367222,317.576579,11147.55249,7.48817E-05
6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,14/03/1986,107,8,Mia Farrow,56988,Woody Allen,1986,33684041,Mar,526.3131406,317.576579,11147.55249,0.000870531
14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,2/7/1986,74,7.2,Vincent Price,36539,Peter Young,1986,24600000,Jul,175.7142857,317.576579,11147.55249,0.000383222
8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,6/6/1986,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,7709459,Jun,90.69951765,317.576579,11147.55249,0.000265057
6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,8/8/1986,84,7.3,Orson Welles,33609,Ron Friedman,1986,-150353,Aug,-2.505883333,317.576579,11147.55249,0.000135508
5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,22/08/1986,88,6.8,Jason Lively,16077,Fred Dekker,1986,-4408634,Aug,-88.17268,317.576579,11147.55249,1.64363E-05
12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,6/6/1986,100,5.5,Karen Black,5878,Richard Blake,1986,-7115337,Jun,-59.294475,317.576579,11147.55249,5.65751E-05
6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,27/02/1987,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986,22607524,Feb,376.7920667,317.576579,11147.55249,0.000662707
6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,18/04/1986,111,7,Sean Penn,11607,Elliott Lewitt,1986,-4153000,Apr,-63.89230769,317.576579,11147.55249,5.01844E-05
20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,25/07/1986,108,6.1,Meryl Streep,7570,Nora Ephron,1986,5314289,Jul,26.571445,317.576579,11147.55249,0.000175923
15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,17/01/1986,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,-13046268,Jan,-86.97512,317.576579,11147.55249,1.81009E-05
12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,14/02/1986,125,5.6,Chuck Norris,15819,James Bruner,1986,5768900,Feb,48.07416667,317.576579,11147.55249,0.00020581
18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14/03/1986,112,6.2,Michael Keaton,9965,Edwin Blum,1986,18611610,Mar,103.3978333,317.576579,11147.55249,0.000282707
175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,8/8/1986,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986,6962502,Aug,3978.572571,317.576579,11147.55249,0.005668943
8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,11/4/1986,109,6.3,Stephen Lang,2297,Leo Garen,1986,-3834088,Apr,-44.06997701,317.576579,11147.55249,7.77362E-05
12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,15/08/1986,88,5.6,John Candy,9040,Brian Grazer,1986,3945534,Aug,32.87945,317.576579,11147.55249,0.000184691
1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,30/10/1986,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,336000,Oct,30.54545455,317.576579,11147.55249,0.000181447
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,7/2/1986,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,10603715,Feb,106.03715,317.576579,11147.55249,0.000286375
18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,13/06/1986,117,6.1,John Lithgow,4666,Marshall Brickman,1986,-14100000,Jun,-78.33333333,317.576579,11147.55249,3.01124E-05
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,28/03/1986,89,6.2,Deborah Foreman,11458,Danilo Bach,1986,7947763,Mar,158.95526,317.576579,11147.55249,0.000359928
25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,26/11/1986,94,4.8,Richard Jordan,3397,Walon Green,1986,-23420740,Nov,-93.68296,317.576579,11147.55249,8.7774E-06
