Company,Budget,Director,Profit,Star,Month,Writer,Gross
Apostle,53000000,Ted Demme,-9225,Johnny Depp,4,Bruce Porter,52990775
Eureka Pictures,5000000,David Wain,-4707898,Janeane Garofalo,4,Michael Showalter,292102
Twentieth Century Fox Film Corporation,100000000,Tim Burton,80011740,Mark Wahlberg,7,Pierre Boulle,180011740
Fox Searchlight Pictures,1200000,Jay Chandrasekhar,17288314,Jay Chandrasekhar,2,Jay Chandrasekhar,18488314
Warner Bros.,85000000,Steven Soderbergh,98405771,George Clooney,12,George Clayton Johnson,183405771
Touchstone Pictures,140000000,Michael Bay,58542554,Ben Affleck,5,Randall Wallace,198542554
Cruise/Wagner Productions,17000000,Alejandro Amenábar,79522687,Nicole Kidman,8,Alejandro Amenábar,96522687
Touchstone Pictures,21000000,Wes Anderson,31364010,Gene Hackman,1,Wes Anderson,52364010
Twentieth Century Fox Film Corporation,50000000,Baz Luhrmann,7386607,Nicole Kidman,6,Baz Luhrmann,57386607
Warner Bros.,57000000,Stephen Herek,-39991718,Mark Wahlberg,9,John Stockwell,17008282
Warner Bros.,100000000,Steven Spielberg,-21383311,Haley Joel Osment,6,Brian Aldiss,78616689
Anhelo Producciones,2000000,Alfonso Cuarón,11622333,Maribel Verdú,4,Alfonso Cuarón,13622333
Walt Disney Pictures,26000000,Garry Marshall,82248956,Julie Andrews,8,Meg Cabot,108248956
Dimension Films,35000000,Robert Rodriguez,77719001,Alexa PenaVega,3,Robert Rodriguez,112719001
Columbia Pictures Corporation,15000000,Joel Gallen,23252284,Chyler Leigh,12,Mike Bender,38252284
Universal Pictures,98000000,Stephen Sommers,104019785,Brendan Fraser,5,Stephen Sommers,202019785
Paramount Pictures,68000000,Cameron Crowe,32614858,Tom Cruise,12,Alejandro Amenábar,100614858
Columbia Pictures Corporation,65000000,Brian Helgeland,-8430298,Heath Ledger,5,Brian Helgeland,56569702
Walt Disney Feature Animation,120000000,Gary Trousdale,-35947238,Michael J. Fox,6,Tab Murphy,84052762
Dimension Films,45000000,Keenen Ivory Wayans,26308997,Anna Faris,7,Shawn Wayans,71308997
Twentieth Century Fox Film Corporation,35000000,Albert Hughes,-3397434,Johnny Depp,10,Alan Moore,31602566
Miramax,25000000,Sharon Maguire,46543427,Renée Zellweger,4,Helen Fielding,71543427
Warner Bros.,42000000,Steve Beck,-132040,Tony Shalhoub,10,Robb White,41867960
Metro-Goldwyn-Mayer (MGM),42000000,Michael Cristofer,-25747235,Antonio Banderas,8,Cornell Woolrich,16252765
LivePlanet,30000000,J.B. Rogers,115103595,Jason Biggs,8,Adam Herz,145103595
Swanford Films,68000000,Jean-Jacques Annaud,-16598242,Jude Law,3,Jean-Jacques Annaud,51401758
Paramount Pictures,28000000,Ben Stiller,17172250,Ben Stiller,9,Drake Sather,45172250
New Line Cinema,22000000,Jessie Nelson,18311852,Sean Penn,1,Kristine Johnson,40311852
Miramax,28000000,Peter Chelsom,22294317,John Cusack,10,Marc Klein,50294317
Universal Pictures,93000000,Joe Johnston,88171875,Sam Neill,7,Michael Crichton,181171875
Columbia Pictures Corporation,107000000,Michael Mann,-48796895,Will Smith,12,Gregory Allen Howard,58203105
Lee Daniels Entertainment,4000000,Marc Forster,27252964,Billy Bob Thornton,3,Milo Addica,31252964
Dimension Films,22000000,Kevin Smith,8059386,Jason Mewes,8,Kevin Smith,30059386
United Artists,7000000,Terry Zwigoff,-782151,Steve Buscemi,9,Daniel Clowes,6217849
Paramount Pictures,48000000,Jerry Zucker,8618055,Breckin Meyer,8,Andy Breckman,56618055
Universal Pictures,39000000,Harry Elfont,-24747170,Rachael Leigh Cook,4,Deborah Kaplan,14252830
IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG,68000000,Iain Softley,-17661515,Kevin Spacey,10,Gene Brewer,50338485
Twentieth Century Fox Film Corporation,40000000,Bobby Farrelly,30836296,Jack Black,11,Sean Moynihan,70836296
Paramount Pictures,68000000,Frank Oz,3069884,Robert De Niro,7,Daniel E. Taylor,71069884
Jersey Films,20000000,Jesse Dylan,11155435,Method Man,12,Dustin Lee Abraham,31155435
New Line Cinema,11000000,James Isaac,2121555,Kane Hodder,4,Victor Miller,13121555
Jonathan Krane Group,102000000,Dominic Sena,-32227031,John Travolta,6,Skip Woods,69772969
Morgan Creek Productions,35000000,Sean Penn,-15280070,Jack Nicholson,1,Friedrich Dürrenmatt,19719930
USA Films,1500000,Brad Anderson,-1121824,David Caruso,9,Brad Anderson,378176
New Line Cinema,90000000,Brett Ratner,136164286,Jackie Chan,8,Ross LaManna,226164286
David Kirschner Productions,11000000,Bill Paxton,2103828,Bill Paxton,4,Brent Hanley,13103828
Columbia Pictures Corporation,17700000,Dennie Gordon,9387695,David Spade,4,David Spade,27087695
DreamWorks,57000000,Gore Verbinski,9808615,Brad Pitt,3,J.H. Wyman,66808615
Deseo El,4500000,Guillermo del Toro,-3745251,Marisa Paredes,10,Guillermo del Toro,754749
Regency Enterprises,23000000,John Dahl,-1026818,Steve Zahn,10,Clay Tarver,21973182
Paramount Pictures,60000000,Lee Tamahori,14078174,Morgan Freeman,4,James Patterson,74078174
Good Machine,20000000,Joel Coen,-12505151,Billy Bob Thornton,11,Joel Coen,7494849
Cort/Madden Productions,13000000,Thomas Carter,78057006,Julia Stiles,1,Duane Adler,91057006
Twentieth Century Fox Film Corporation,40000000,John Moore,19068786,Gene Hackman,11,Jim Thomas,59068786
USA Films,19800000,Robert Altman,21508615,Maggie Smith,1,Julian Fellowes,41308615
Bandeira Entertainment,13000000,Blair Hayes,-7997690,Jake Gyllenhaal,8,Cinco Paul,5002310
Columbia Pictures Corporation,80000000,Ivan Reitman,-41654506,David Duchovny,6,Don Jakoby,38345494
Universal Pictures,115000000,Tony Scott,-114973129,Robert Redford,11,Michael Frost Beckner,26871
Columbia Pictures,16000000,John Singleton,12734552,AlexSandra Wright,6,John Singleton,28734552
Konrad Pictures,48000000,James Mangold,-878141,Meg Ryan,12,Steven Rogers,47121859
Davis Entertainment,35000000,David Mirkin,5334024,Sigourney Weaver,3,Robert Dunn,40334024
Screen Gems,28000000,John Carpenter,-19565399,Natasha Henstridge,8,Larry Sulkis,8434601
Regency Enterprises,50000000,Gary Fleder,5001642,Michael Douglas,9,Andrew Klavan,55001642
Warner Bros.,70000000,Bobby Farrelly,-56403089,Laurence Fishburne,8,Marc Hyman,13596911
Bungalow Productions,21150000,Simon Wincer,4485682,Paul Hogan,4,Paul Hogan,25635682
Fuller Films,1500000,Henry Bean,-1093965,Ryan Gosling,8,Henry Bean,406035
Warner Bros.,40000000,Pat O'Connor,-14711897,Keanu Reeves,2,Herman Raucher,25288103
Metro-Goldwyn-Mayer (MGM),75000000,Barry Levinson,-33424859,Bruce Willis,10,Harley Peyton,41575141
DreamWorks,72000000,Rod Lurie,-53791922,Robert Redford,10,David Scarpa,18208078
Warner Bros.,10000000,Jamie Blanks,10384136,Denise Richards,2,Tom Savage,20384136
Columbia Pictures Corporation,35000000,Adam Shankman,25400856,Jennifer Lopez,1,Pamela Falk,60400856
Aamir Khan Productions,6000000,Ashutosh Gowariker,-5929853,Aamir Khan,5,Ashutosh Gowariker,70147
Star Overseas,10000000,Stephen Chow,-9511128,Stephen Chow,7,Stephen Chow,488872
New Line Cinema,60000000,John Herzfeld,-35596448,Robert De Niro,3,John Herzfeld,24403552
Castle Rock Entertainment,31000000,Scott Hicks,-6814219,Anthony Hopkins,9,Stephen King,24185781
Paramount Pictures,7000000,Louis C.K.,-3706742,Chris Rock,6,Louis C.K.,3293258
Castle Rock Entertainment,72000000,Frank Darabont,-44192734,Jim Carrey,12,Michael Sloane,27807266
Winkler Films,27000000,Irwin Winkler,-11347363,Hayden Christensen,11,Mark Andrus,15652637
Twentieth Century Fox Film Corporation,25000000,Chris Nahon,11845124,Jet Li,7,Jet Li,36845124
Fox 2000 Pictures,23000000,Tony Goldwyn,4338033,Ashley Judd,3,Laura Zigman,27338033
Revolution Studios,46000000,Joe Roth,47607673,Julia Roberts,7,Billy Crystal,93607673
Columbia Pictures,48000000,Penny Marshall,-17834464,Drew Barrymore,10,Beverly D'Onofrio,30165536
Paramount Pictures,30000000,John A. Davis,50936232,Debi Derryberry,12,John A. Davis,80936232
Morgan Creek Productions,39000000,David Mamet,-38952761,Gene Hackman,11,David Mamet,47239
Touchstone Pictures,24000000,Brendan Malloy,-10096738,Flex Alexander,11,Jon Zack,13903262
Warner Bros.,60000000,Lawrence Guterman,33385515,Alec Baldwin,7,John Requa,93385515
Columbia Pictures Corporation,30000000,Daniel Sackheim,-11998768,Diane Lane,9,Wesley Strick,18001232
Revolution Studios,49000000,James Wong,-5094254,Jet Li,11,Glen Morgan,43905746
Chickie the Cop,5000000,Tim Blake Nelson,11017403,Mekhi Phifer,8,William Shakespeare,16017403
Miramax,22000000,Tommy O'Haver,-10439741,Kirsten Dunst,3,R. Lee Fleming Jr.,11560259
Chris Lee Productions,137000000,Hironobu Sakaguchi,-104868170,Alec Baldwin,7,Hironobu Sakaguchi,32131830
Columbia Pictures Corporation,22000000,Dennis Dugan,-2648431,Jason Biggs,2,Hank Nelken,19351569
Good Machine,1700000,Todd Field,34230604,Tom Wilkinson,2,Robert Festinger,35930604
Alliance Atlantis Communications,28000000,Ronny Yu,-22795993,Samuel L. Jackson,10,Stel Pavlou,5204007
Warner Bros.,34000000,Michael Tollin,-14306109,Freddie Prinze Jr.,8,Kevin Falls,19693891
Regency Enterprises,14000000,Tom Green,249005,Tom Green,4,Tom Green,14249005
New Line Cinema,11000000,Francine McDougall,2276953,Marla Sokoloff,1,Mandy Nelson,13276953
Twentieth Century Fox Film Corporation,75000000,Henry Selick,-69588001,Brendan Fraser,2,Kaja Blackley,5411999
Paramount Pictures,32000000,Brian Robbins,8219708,Keanu Reeves,9,Daniel Coyle,40219708
Columbia Pictures Corporation,18000000,John Boorman,-4270258,Pierce Brosnan,3,John le Carré,13729742
Paramount Pictures,75000000,Harold Becker,-29792888,John Travolta,11,Lewis Colick,45207112
Franchise Pictures,94000000,Renny Harlin,-61383131,Sylvester Stallone,4,Jan Skrentny,32616869
Universal Pictures,57000000,John Madden,-31456105,Nicolas Cage,8,Shawn Slovo,25543895
Killer Films,6000000,John Cameron Mitchell,-2970919,John Cameron Mitchell,8,John Cameron Mitchell,3029081
FilmFour,15000000,Gregor Jordan,-14646257,Joaquin Phoenix,10,Robert O'Connor,353743
Revolution Studios,47000000,Luke Greenfield,10743062,Rob Schneider,6,Tom Brady,57743062
Universal Pictures,14000000,Mark Waters,-3602635,Monica Potter,2,John J. Strauss,10397365
Twentieth Century Fox Film Corporation,50000000,Gil Junger,-16577194,Martin Lawrence,11,Darryl Quarles,33422806
Touchstone Pictures,13000000,John Stockwell,3929123,Kirsten Dunst,6,Phil Hay,16929123
Franchise Pictures,62000000,Demian Lichtenstein,-46261368,Kurt Russell,2,Richard Recco,15738632
British Broadcasting Corporation (BBC),5500000,Richard Eyre,-4207881,Judi Dench,3,John Bayley,1292119
Warner Bros.,50000000,Andrzej Bartkowiak,1758599,Steven Seagal,3,Ed Horowitz,51758599
October Films,18000000,Harald Zwart,-11709327,Liv Tyler,4,Stan Seidel,6290673
Miramax,35000000,Lasse Hallström,-23565784,Kevin Spacey,1,Annie Proulx,11434216
Metro-Goldwyn-Mayer (MGM),30000000,Peter Howitt,-19034791,Ryan Phillippe,1,Howard Franklin,10965209
Franchise Pictures,53000000,Luis Mandoki,-28955468,Jennifer Lopez,5,Gerald Di Pego,24044532
Walt Disney Pictures,25000000,Tim Hill,-7707619,Alex D. Linz,10,David L. Watts,17292381
3 Arts Entertainment,49000000,Chris Weitz,15186502,Chris Rock,2,Elaine May,64186502
Alter Ego Entertainment,700000,Michael Cuesta,441829,Brian Cox,11,Stephen M. Ryder,1141829
New Line Cinema,90000000,Peter Chelsom,-83280027,Warren Beatty,4,Michael Laughlin,6719973
Morgan Creek Productions,35000000,Les Mayfield,-21735014,Colin Farrell,8,Roderick Taylor,13264986
Dimension Films,40000000,Gary Fleder,-33885763,Shane Brolly,1,Philip K. Dick,6114237
Metro-Goldwyn-Mayer (MGM),60000000,Sam Weisman,-27904682,Martin Lawrence,6,Donald E. Westlake,32095318
Greisman Productions,38000000,Steve Miner,-37376626,James Van Der Beek,11,George Durham,623374
Revolution Studios,11000000,Gregory Poirier,2558739,Shannon Elizabeth,3,Gregory Poirier,13558739
FilmFour,13000000,Jez Butterworth,-8080104,Nicole Kidman,2,Tom Butterworth,4919896
DreamWorks,33000000,Woody Allen,-25503478,Greg Stebner,8,Woody Allen,7496522
Fox Searchlight Pictures,1000000,Charles Herman-Wurmfeld,6022940,Jennifer Westfeldt,4,Heather Juergensen,7022940
Twentieth Century Fox Film Corporation,70000000,Steve Carr,42952899,Eddie Murphy,6,Hugh Lofting,112952899
Detour Filmproduction,100000,Richard Linklater,390475,Ethan Hawke,7,Stephen Belber,490475
Artisan Entertainment,5000000,Jon Favreau,308707,Vince Vaughn,8,Jon Favreau,5308707
Gaumont,35000000,Jean-Marie Poiré,-30222993,Jean Reno,4,Jean-Marie Poiré,4777007
Twentieth Century Fox Film Corporation,22000000,Vondie Curtis-Hall,-17726628,Mariah Carey,9,Cheryl L. West,4273372
MDP Worldwide,40000000,Peter Hyams,-12946185,Justin Chambers,9,Alexandre Dumas,27053815
Blow Up Pictures,250000,Nicole Holofcener,3936931,Catherine Keener,8,Nicole Holofcener,4186931
Stonelock Pictures,4500000,Jill Sprecher,-1211836,Alan Arkin,7,Karen Sprecher,3288164
Goatsingers The,5000000,Tim Blake Nelson,-4482128,David Arquette,11,Miklos Nyiszli,517872
3Mark Entertainment,7000000,Mitch Davis,-2279629,Christopher Gorham,4,Mitch Davis,4720371
Twentieth Century Fox Film Corporation,25000000,J.B. Rogers,-19483292,Chris Klein,3,Peter Gaulke,5516708
New Line Cinema,16000000,Ernest R. Dickerson,-8692244,Snoop Dogg,10,Adam Simon,7307756
Warner Bros.,35000000,John Whitesell,-1642524,David Arquette,3,George Gallo,33357476
Screen Gems,6000000,Gary Hardwick,21457409,Morris Chestnut,3,Gary Hardwick,27457409
Lions Gate Films,7000000,DJ Pooh,3097096,Dr. Dre,11,DJ Pooh,10097096
i5 Films,3000000,Scott McGehee,5821782,Tilda Swinton,8,Elisabeth Sanxay Holding,8821782
Ecosse Films,20000000,Gillian Armstrong,-19331860,Cate Blanchett,1,Sebastian Faulks,668140
Screen Gems,15000000,J.S. Cardone,-7711549,Kerr Smith,4,J.S. Cardone,7288451
Touchstone Pictures,11000000,Rob Pritts,12978402,Chris Kattan,10,David Garrett,23978402
Alcon Entertainment,30000000,Charles Shyer,-29569687,Hilary Swank,12,John Sweet,430313
Disney Television Animation,23000000,Chuck Sheetz,13696761,Andrew Lawrence,2,Paul Germain,36696761
Alma UK Limited,12000000,Bruce Beresford,-11580586,Sarah Wynter,1,Marilyn Levy,419414
Fox 2000 Pictures,38000000,John Pasquin,-15229136,Tim Allen,12,John Scott Shepherd,22770864
Lions Gate Films,7000000,Peter Bogdanovich,-3790519,Kirsten Dunst,5,Steven Peros,3209481
Lost Soul Productions,17000000,Stephen Carpenter,-13899350,Melissa Sagemiller,9,Stephen Carpenter,3100650
United Artists,7000000,Roman Coppola,-6588966,Jeremy Davies,5,Roman Coppola,411034
Screen Gems,13000000,Mark Brown,9235901,Vivica A. Fox,9,Mark Brown,22235901
Bates Entertainment,7000000,Doug McHenry,16247539,LL Cool J,4,David Dean Bottrell,23247539
Universal Pictures,13500000,Kasi Lemmons,-12812806,Samuel L. Jackson,9,George Dawes Green,687194
A Happy Place,10000000,Eric Bross,-5643257,Lance Bass,10,Eric Aronson,4356743
Columbia TriStar Home Video,2500000,Blair Treu,-2094818,Evan Rachel Wood,8,Jessica Barondes,405182
Miramax,100000000,Martin Scorsese,-22188000,Leonardo DiCaprio,12,Jay Cocks,77812000
1492 Pictures,100000000,Chris Columbus,161988482,Daniel Radcliffe,11,J.K. Rowling,261988482
Columbia Pictures Corporation,139000000,Sam Raimi,264706375,Tobey Maguire,5,Stan Lee,403706375
DreamWorks,52000000,Steven Spielberg,112615351,Leonardo DiCaprio,12,Jeff Nathanson,164615351
O2 Filmes,3300000,Fernando Meirelles,4263397,Alexandre Rodrigues,2,Paulo Lins,7563397
R.P. Productions,35000000,Roman Polanski,-2427423,Adrien Brody,3,Ronald Harwood,32572577
Warner Bros.,11000000,Adam Shankman,30227069,Mandy Moore,1,Nicholas Sparks,41227069
Miramax,45000000,Rob Marshall,125687518,Renée Zellweger,1,Bill Condon,170687518
DNA Films,8000000,Danny Boyle,37064915,Cillian Murphy,6,Alex Garland,45064915
New Line Cinema,94000000,Peter Jackson,248551365,Elijah Wood,12,J.R.R. Tolkien,342551365
DreamWorks,48000000,Gore Verbinski,81128133,Naomi Watts,10,Ehren Kruger,129128133
Imagine Entertainment,41000000,Curtis Hanson,75724075,Eminem,11,Scott Silver,116724075
Warner Bros.,84000000,Raja Gosnell,69288182,Matthew Lillard,6,James Gunn,153288182
Fox 2000 Pictures,50000000,Adrian Lyne,2801000,Richard Gere,5,Claude Chabrol,52801000
Twentieth Century Fox Film Corporation,102000000,Steven Spielberg,30072926,Tom Cruise,6,Philip K. Dick,132072926
Slough Pond,4000000,Steven Shainberg,59680,James Spader,10,Erin Cressida Wilson,4059680
Universal Pictures,60000000,Doug Liman,61661683,Franka Potente,6,Tony Gilroy,121661683
Touchstone Pictures,35000000,Kevin Reynolds,19234062,Jim Caviezel,1,Alexandre Dumas,54234062
DreamWorks,80000000,Sam Mendes,24454762,Tom Hanks,7,Max Allan Collins,104454762
Touchstone Pictures,38000000,Andy Tennant,89223418,Reese Witherspoon,9,Douglas J. Eboch,127223418
Lucasfilm,115000000,George Lucas,195675583,Hayden Christensen,5,George Lucas,310675583
Icon Entertainment International,75000000,Randall Wallace,3122718,Mel Gibson,3,Harold G. Moore,78122718
Columbia Pictures Corporation,48000000,David Fincher,48397334,Jodie Foster,3,David Koepp,96397334
Alcon Entertainment,46000000,Christopher Nolan,21355513,Al Pacino,5,Hillary Seitz,67355513
Paramount Pictures,25000000,Stephen Daldry,16675994,Meryl Streep,2,Michael Cunningham,41675994
Universal Pictures,78000000,Brett Ratner,15149898,Anthony Hopkins,10,Thomas Harris,93149898
Constantin Film,33000000,Paul W.S. Anderson,7119709,Milla Jovovich,3,Paul W.S. Anderson,40119709
Dimension Films,20000000,Kurt Wimmer,-18796026,Christian Bale,12,Kurt Wimmer,1203974
Eon Productions,142000000,Lee Tamahori,18942139,Pierce Brosnan,11,Ian Fleming,160942139
Columbia Pictures Corporation,140000000,Barry Sonnenfeld,50418803,Tommy Lee Jones,7,Lowell Cunningham,190418803
Touchstone Pictures,72000000,M. Night Shyamalan,155966634,Mel Gibson,8,M. Night Shyamalan,227966634
Beverly Detroit,19000000,Spike Jonze,3245861,Nicolas Cage,2,Susan Orlean,22245861
New Line Cinema,54000000,Guillermo del Toro,28348319,Wesley Snipes,3,Marv Wolfman,82348319
Gold Circle Films,5000000,Joel Zwick,236438208,Nia Vardalos,8,Nia Vardalos,241438208
Paramount Pictures,60000000,Stuart Baird,-16745591,Patrick Stewart,12,Gene Roddenberry,43254409
Twentieth Century Fox Film Corporation,59000000,Chris Wedge,117387405,Denis Leary,3,Michael J. Wilson,176387405
Revolution Studios,70000000,Rob Cohen,72109382,Vin Diesel,8,Rich Wilkes,142109382
Walt Disney Pictures,80000000,Dean DeBlois,65794338,Daveigh Chase,6,Chris Sanders,145794338
New Line Cinema,63000000,Jay Roach,150307889,Mike Myers,7,Mike Myers,213307889
Fox 2000 Pictures,13000000,Joel Schumacher,33566212,Colin Farrell,4,Larry Cohen,46566212
Handprint Entertainment,12000000,Julie Taymor,13885000,Salma Hayek,11,Hayden Herrera,25885000
Paramount Pictures,18000000,Jake Kasdan,23032915,Colin Hanks,1,Mike White,41032915
Walt Disney Feature Animation,140000000,Ron Clements,-101823217,Joseph Gordon-Levitt,11,Robert Louis Stevenson,38176783
First Light Production,100000000,Kathryn Bigelow,-64831034,Harrison Ford,7,Louis Nowra,35168966
Myriad Pictures,6000000,Walt Becker,15005329,Ryan Reynolds,4,Brent Goldberg,21005329
Spyglass Entertainment,60000000,Rob Bowman,-16938018,Matthew McConaughey,7,Gregg Chabot,43061982
Universal Pictures,60000000,Chuck Russell,31047077,Dwayne Johnson,4,Stephen Sommers,91047077
New Line Cinema,25000000,Paul Thomas Anderson,-7155784,Adam Sandler,11,Paul Thomas Anderson,17844216
Warner Bros.,35000000,Steve Beck,-4886509,Julianna Margulies,10,Mark Hanlon,30113491
Columbia Pictures Corporation,43000000,Roger Kumble,-18281836,Cameron Diaz,4,Nancy Pimental,24718164
Twentieth Century Fox Film Corporation,47000000,Steven Soderbergh,-32029962,George Clooney,11,Stanislaw Lem,14970038
EuropaCorp,21000000,Louis Leterrier,4296447,Jason Statham,10,Luc Besson,25296447
Universal Pictures,30000000,Chris Weitz,11385278,Hugh Grant,5,Nick Hornby,41385278
Regency Enterprises,40000000,Stephen Herek,-25551411,Angelina Jolie,4,John Scott Shepherd,14448589
Beijing New Picture Film Co.,31000000,Yimou Zhang,22710019,Jet Li,8,Feng Li,53710019
Media Asia Films,6428966,Wai-Keung Lau,-6259307,Andy Lau,12,Alan Mak,169659
Warner Bros.,35000000,Michael Rymer,-4663200,Aaliyah,2,Anne Rice,30336800
Lakeshore Entertainment,32000000,Mark Pellington,3746370,Richard Gere,1,Richard Hatem,35746370
Castle Rock Entertainment,60000000,Marc Lawrence,33354851,Sandra Bullock,12,Marc Lawrence,93354851
Columbia Pictures Corporation,38000000,Michael Apted,2007742,Jennifer Lopez,5,Nicholas Kazan,40007742
Flan de Coco Films,8000000,Miguel Arteta,6015786,Jennifer Aniston,8,Mike White,14015786
25th Hour Productions,5000000,Spike Lee,8060843,Edward Norton,1,David Benioff,13060843
Tonic Films,1500000,Eli Roth,19658188,Jordan Ladd,9,Eli Roth,21158188
DreamWorks Animation,80000000,Kelly Asbury,-6719883,Matt Damon,5,John Fusco,73280117
Warner Bros.,80000000,Simon Wells,-23315181,Guy Pearce,3,H.G. Wells,56684819
Dimension Films,15000000,Rick Rosenthal,15354442,Jamie Lee Curtis,7,Debra Hill,30354442
Universal Pictures,30000000,John Stockwell,10390647,Kate Bosworth,8,Susan Orlean,40390647
Metro-Goldwyn-Mayer (MGM),115000000,John Woo,-74085932,Nicolas Cage,6,John Rice,40914068
Warner Bros.,85000000,Andrew Davis,-44922743,Arnold Schwarzenegger,2,Ronald Roose,40077257
Columbia Pictures Corporation,50000000,Steven Brill,76293452,Adam Sandler,6,Clarence Budington Kelland,126293452
Paramount Pictures,68000000,Phil Alden Robinson,50907036,Ben Affleck,5,Tom Clancy,118907036
Revolution Studios,55000000,Wayne Wang,39011225,Jennifer Lopez,12,John Hughes,94011225
New Line Cinema,36000000,Nick Cassavetes,35756802,Denzel Washington,2,James Kearns,71756802
Kingsgate Films,4000000,Roger Avary,2532619,James Van Der Beek,10,Bret Easton Ellis,6532619
Touchstone Pictures,70000000,Joel Schumacher,-39839839,Anthony Hopkins,6,Gary M. Goodman,30160161
Twentieth Century Fox Film Corporation,42000000,Carl Franklin,-456793,Jim Caviezel,4,Joseph Finder,41543207
Walt Disney Pictures,15000000,Jay Russell,4158074,Alexis Bledel,10,Natalie Babbitt,19158074
Dimension Films,38000000,Robert Rodriguez,47846429,Alexa PenaVega,8,Robert Rodriguez,85846429
Touchstone Pictures,21000000,Brad Silberling,-14164144,Jake Gyllenhaal,10,Brad Silberling,6835856
Odeon Films,8000000,David Cronenberg,-6358212,Ralph Fiennes,11,Patrick McGrath,1641788
Miramax,29000000,George Clooney,-12996424,Sam Rockwell,1,Chuck Barris,16003576
New Line Cinema,30000000,Alexander Payne,35016287,Jack Nicholson,1,Louis Begley,65016287
Warner Bros.,50000000,Barbet Schroeder,-18125131,Sandra Bullock,4,Tony Gayton,31874869
Focus Features,13500000,Todd Haynes,2354988,Julianne Moore,1,Todd Haynes,15854988
Happy Madison Productions,34000000,Seth Kearsley,-10556876,Adam Sandler,11,Brooks Arthur,23443124
Avery Pix,10000000,Marcus Raboy,22983713,Ice Cube,11,Ice Cube,32983713
Fuzzy Bunny Films (I),12000000,Tamra Davis,25191304,Britney Spears,2,Shonda Rhimes,37191304
Fox Searchlight Pictures,12000000,Mark Romanek,19597131,Robin Williams,9,Mark Romanek,31597131
Warner Bros.,30000000,Ellory Elkayem,-12677394,David Arquette,7,Ellory Elkayem,17322606
Miramax,17000000,Michael Lehmann,20950822,Josh Hartnett,3,Rob Perez,37950822
CJ Entertainment,4000000,Chan-wook Park,-3954711,Kang-ho Song,3,Jae-sun Lee,45289
Paramount Pictures,15000000,Shawn Levy,32811275,Frankie Muniz,2,Dan Schneider,47811275
United Artists Film Corporation,10000000,Douglas McGrath,-8412827,Charlie Hunnam,1,Charles Dickens,1587173
Blue Train Productions,60000000,Kevin Donovan,-9452002,Jackie Chan,9,Phil Hay,50547998
Columbia Pictures,30000000,Luis Mandoki,-29937464,Kevin Bacon,9,Greg Iles,62536
Revolution Studios,13000000,Ed Decter,15972187,DJ Qualls,5,David Kendall,28972187
2 Loop Films,500000,Lucky McKee,-349723,Angela Bettis,4,Lucky McKee,150277
Muse Productions,2000000,Jonas Åkerlund,-1589759,Jason Schwartzman,2,Will De Los Santos,410241
98 MPH Productions,20000000,John Lee Hancock,55600072,Dennis Quaid,3,Mike Rich,75600072
Screen Gems,10000000,Guy Ritchie,-9992124,Madonna,10,Guy Ritchie,7876
Motion Picture Corporation of America (MPCA),20000000,Mort Nathan,-11413624,Cuba Gooding Jr.,3,Mort Nathan,8586376
Amen Ra Films,20000000,Walter Hill,-7601372,Wesley Snipes,8,David Giler,12398628
Twentieth Century Fox Film Corporation,10000000,Steve Oedekerk,6033556,Steve Oedekerk,1,Steve Oedekerk,16033556
Warner Bros.,16000000,Peter Kosminsky,346122,Michelle Pfeiffer,10,Janet Fitch,16346122
Quinta Communications,35000000,Brian De Palma,-28407897,Rebecca Romijn,11,Brian De Palma,6592103
Alphaville Films,15000000,Ron Shelton,-5940412,Kurt Russell,2,James Ellroy,9059588
Walt Disney Pictures,65000000,Michael Lembeck,74236327,Tim Allen,11,Don Rhymer,139236327
Paramount Pictures,45000000,Roger Michell,21818548,Ben Affleck,4,Chap Taylor,66818548
Dimension Films,40000000,David Twohy,-39394438,Bruce Greenwood,10,Lucas Sussman,605562
Paramount Pictures,26000000,Jonathan Frakes,10985501,Jesse Bradford,3,Rob Hedden,36985501
Touchstone Pictures,40000000,Barry Sonnenfeld,-32737712,Tim Allen,4,Dave Barry,7262288
DreamWorks,16000000,Woody Allen,-11160617,Woody Allen,5,Woody Allen,4839383
Walt Disney Pictures,35000000,Brian Levant,46172560,Cuba Gooding Jr.,1,Jim Kouf,81172560
Twentieth Century Fox Film Corporation,8500000,John Polson,20063926,Jesse Bradford,9,Charles F. Bohl,28563926
Fox 2000 Pictures,20000000,Charles Stone III,36398162,Nick Cannon,12,Shawn Schepps,56398162
Malpaso Productions,50000000,Clint Eastwood,-23800483,Clint Eastwood,8,Michael Connelly,26199517
Paramount Pictures,35000000,Shekhar Kapur,-16693834,Heath Ledger,9,A.E.W. Mason,18306166
Metro-Goldwyn-Mayer (MGM),12000000,Tim Story,63782105,Ice Cube,9,Mark Brown,75782105
Twentieth Century Fox Film Corporation,30000000,John Schultz,21432423,Shad Moss,7,Michael Elliot,51432423
Material,85000000,Tom Dey,-46917288,Robert De Niro,3,Jorge Saralegui,38082712
Columbia Pictures Corporation,70000000,Betty Thomas,-36894400,Eddie Murphy,11,Morton S. Fine,33105600
Castle Rock Entertainment,18000000,D.J. Caruso,-17235446,Val Kilmer,5,Tony Gayton,764554
