Company,Budget,Director,Profit,Star,Month,Writer,Gross
Brooksfilms,22700000,Mel Brooks,15419483,Mel Brooks,6,Mel Brooks,38119483
Orion Pictures,13000000,Paul Verhoeven,40424681,Peter Weller,7,Edward Neumeier,53424681
Warner Bros.,15000000,Richard Donner,50207127,Mel Gibson,3,Shane Black,65207127
Paramount Pictures,25000000,Brian De Palma,51270454,Kevin Costner,6,Oscar Fraley,76270454
De Laurentiis Entertainment Group (DEG),3600000,Sam Raimi,2323044,Bruce Campbell,3,Sam Raimi,5923044
Golan-Globus Productions,22000000,Gary Goddard,-4663630,Dolph Lundgren,8,David Odell,17336370
Home Box Office (HBO),12000000,Fred Dekker,-8230010,Andre Gower,8,Shane Black,3769990
Paramount Pictures,14000000,Adrian Lyne,142645693,Michael Douglas,9,James Dearden,156645693
Eon Productions,30000000,John Glen,21185897,Timothy Dalton,7,Richard Maibaum,51185897
Twentieth Century Fox Film Corporation,15000000,Oliver Stone,28848100,Charlie Sheen,12,Stanley Weiser,43848100
Amblin Entertainment,35000000,Steven Spielberg,-12761304,Christian Bale,12,Tom Stoppard,22238696
Warner Bros.,22000000,George Miller,41766510,Jack Nicholson,6,John Updike,63766510
New Line Cinema,4500000,Chuck Russell,40293222,Heather Langenkamp,2,Wes Craven,44793222
Universal Pictures,23000000,Joseph Sargent,-2236987,Lorraine Gary,7,Peter Benchley,20763013
Cannon Group,25000000,Menahem Golan,-8942420,Sylvester Stallone,2,Gary Conway,16057580
Paramount Pictures,30000000,John Hughes,19530280,Steve Martin,11,John Hughes,49530280
Circle Films,6000000,Joel Coen,16847564,Nicolas Cage,4,Ethan Coen,22847564
Carolco International N.V.,17000000,Alan Parker,185632,Mickey Rourke,3,William Hjortsberg,17185632
Gladden Entertainment,6000000,Michael Gottlieb,36721196,Andrew McCarthy,2,Edward Rugoff,42721196
Warner Bros.,27000000,Joe Dante,-1106190,Dennis Quaid,7,Chip Proser,25893810
Metro-Goldwyn-Mayer (MGM),15000000,Norman Jewison,65640528,Cher,1,John Patrick Shanley,80640528
Paramount Pictures,28000000,Tony Scott,125665000,Eddie Murphy,5,Danilo Bach,153665000
Recorded Picture Company (RPC),23000000,Bernardo Bertolucci,20984230,John Lone,4,Mark Peploe,43984230
Touchstone Pictures,13000000,Barry Levinson,110922370,Robin Williams,1,Mitch Markowitz,123922370
Merchant Ivory Productions,2600000,James Ivory,530592,James Wilby,9,E.M. Forster,3130592
Interscope Communications,11000000,Leonard Nimoy,156780960,Tom Selleck,11,Coline Serreau,167780960
Alive Films,3000000,John Carpenter,11182492,Donald Pleasence,10,John Carpenter,14182492
Columbia Pictures Corporation,6500000,Luis Valdez,47715416,Lou Diamond Phillips,7,Luis Valdez,54215416
F/M,5000000,Kathryn Bigelow,-1630693,Adrian Pasdar,6,Kathryn Bigelow,3369307
