Columbia Pictures Corporation,USA,Ridley Scott,Crime,R,Tom Berenger,Howard Franklin
Universal Pictures,UK,Richard Attenborough,Biography,PG,Denzel Washington,John Briley
Fourth Protocol,UK,John Mackenzie,Thriller,R,Michael Caine,George Axelrod
Home Box Office (HBO),USA,Hector Babenco,Drama,R,Jack Nicholson,William Kennedy
Cannon Group,USA,J. Lee Thompson,Action,R,Charles Bronson,Brian Garfield
Amercent Films,USA,Jonathan Kaplan,Comedy,PG,Matthew Broderick,Lawrence Lasker
Cannon Films,USA,Ruggero Deodato,Fantasy,R,David Paul,Alberto Piferi
Columbia Pictures Corporation,USA,Elaine May,Action,PG-13,Warren Beatty,Elaine May
Conquering Unicorn,USA,Robert Townsend,Comedy,R,Robert Townsend,Robert Townsend
Carolco Entertainment,USA,Walter Hill,Action,R,Nick Nolte,John Milius
Cannon Group,USA,Sam Firstenberg,Action,R,Michael Dudikoff,Gary Conway
Cinecom Entertainment Group,USA,John Sayles,Drama,PG-13,Chris Cooper,John Sayles
Columbia Pictures,USA,Paul Weiland,Action,PG,Bill Cosby,Jonathan Reynolds
Golan-Globus Productions,USA,Jerry Schatzberg,Crime,R,Christopher Reeve,David Freeman
Gladden Entertainment,USA,Michael Cimino,Action,R,Christopher Lambert,Mario Puzo
De Laurentiis Entertainment Group (DEG),USA,Bob Giraldi,Comedy,PG-13,Jon Cryer,Joe Menosky
Orion Pictures,USA,Harley Cokeliss,Action,R,Burt Reynolds,Christopher Frank
Samuel Goldwyn Company The,UK,Mike Hodges,Action,R,Mickey Rourke,Jack Higgins
Columbia Pictures,UK,Michael Radford,Crime,R,Sarah Miles,James Fox
Rollins-Joffe Productions,USA,Woody Allen,Drama,PG,Elaine Stritch,Woody Allen
Independent Film Centre,USA,Lance Hool,Action,R,Patrick Swayze,Doug Lefler
Empire Pictures,USA,Renny Harlin,Crime,R,Lane Smith,Irwin Yablans
Warner Bros.,USA,Martin Ritt,Drama,R,Barbra Streisand,Tom Topor
Bandai Films,USA,Barry Levinson,Comedy,R,Richard Dreyfuss,Barry Levinson
De Laurentiis Entertainment Group (DEG),USA,William Friedkin,Drama,R,Michael Biehn,William P. Wood
Vista Organization,USA,Amy Holden Jones,Fantasy,PG,Ally Sheedy,Amy Holden Jones
Commies From Mars Corporation,UK,Alex Cox,Action,R,Sy Richardson,Alex Cox
Silent Night Releasing Corporation,USA,Lee Harry,Horror,R,Eric Freeman,Michael Hickey
De Laurentiis Entertainment Group (DEG),USA,Tom McLoughlin,Comedy,PG,Phoebe Cates,Tom McLoughlin
In-Cine Compañía Industrial Cinematográfica,USA,Alex Cox,Biography,R,Ed Harris,Rudy Wurlitzer
TriStar Pictures,USA,Roger Young,Action,PG-13,Michael Keaton,Daniel Taplitz
Golan-Globus Productions,USA,Peter R. Hunt,Action,PG-13,Charles Bronson,Richard Sale
Titan Productions,USA,David DeCoteau,Horror,R,Linnea Quigley,Dave Eisenstark
TriStar Pictures,USA,Robert Benton,Comedy,PG,Jeff Bridges,Robert Benton
Conquest Productions,USA,Jeff Burr,Action,R,Vincent Price,C. Courtney Joyner
Golan-Globus Productions,USA,Norman Mailer,Comedy,R,Ryan O'Neal,Norman Mailer
New World Entertainment Films,USA,Bill Condon,Drama,R,Eric Stoltz,Bill Condon
Cannon Group,USA,Jerry Belson,Comedy,PG,Sally Field,Jerry Belson
Paramount Pictures,USA,Michael Apted,Comedy,R,Richard Pryor,Denis Hamill
De Laurentiis Entertainment Group (DEG),USA,John D. Hancock,Drama,R,Nick Nolte,Dorothy Tristan
Geffen Company The,USA,Tim Burton,Comedy,PG,Alec Baldwin,Michael McDowell
Eddie Murphy Productions,USA,John Landis,Comedy,R,Eddie Murphy,Eddie Murphy
United Artists,USA,Tom Holland,Horror,R,Catherine Hicks,Don Mancini
Twentieth Century Fox Film Corporation,USA,John McTiernan,Action,R,Bruce Willis,Roderick Thorp
Metro-Goldwyn-Mayer (MGM),USA,Ron Howard,Action,PG,Val Kilmer,George Lucas
New World Pictures,USA,Michael Lehmann,Comedy,R,Winona Ryder,Daniel Waters
United Artists,USA,Barry Levinson,Drama,R,Dustin Hoffman,Barry Morrow
Alive Films,USA,John Carpenter,Action,R,Roddy Piper,Ray Nelson
Touchstone Pictures,USA,Robert Zemeckis,Animation,PG,Bob Hoskins,Gary K. Wolf
American Entertainment Partners II L.P.,USA,Penny Marshall,Comedy,PG,Tom Hanks,Gary Ross
Touchstone Pictures,USA,Roger Donaldson,Comedy,R,Tom Cruise,Heywood Gould
Cristaldifilm,Italy,Giuseppe Tornatore,Drama,R,Philippe Noiret,Giuseppe Tornatore
TriStar Pictures,USA,Chuck Russell,Horror,R,Shawnee Smith,Theodore Simonson
De Laurentiis Entertainment Group (DEG),USA,Stan Winston,Fantasy,R,Lance Henriksen,Ed Justin
Metro-Goldwyn-Mayer (MGM),UK,Charles Crichton,Comedy,R,John Cleese,John Cleese
Sarlui / Diamant,USA,Stephen Chiodo,Comedy,PG-13,Grant Cramer,Charles Chiodo
Universal Pictures,USA,Martin Brest,Action,R,Robert De Niro,George Gallo
Film Futures,UK,Tony Randel,Horror,R,Doug Bradley,Clive Barker
Orion Pictures,USA,Alan Parker,Crime,R,Gene Hackman,Chris Gerolmo
Paramount Pictures,USA,David Zucker,Comedy,PG-13,Leslie Nielsen,Jerry Zucker
Cannon International,USA,Newt Arnold,Action,R,Jean-Claude Van Damme,Sheldon Lettich
Twentieth Century Fox Film Corporation,USA,Mike Nichols,Comedy,R,Melanie Griffith,Kevin Wade
Paramount Pictures,Australia,John Cornell,Action,PG,Paul Hogan,Paul Hogan
Universal Pictures,USA,Don Bluth,Animation,G,Pat Hingle,Stu Krieger
Universal Pictures,USA,Ivan Reitman,Comedy,PG,Arnold Schwarzenegger,William Davies
Lorimar Film Entertainment,USA,Stephen Frears,Drama,R,Glenn Close,Christopher Hampton
The Saul Zaentz Company,USA,Philip Kaufman,Drama,R,Daniel Day-Lewis,Milan Kundera
Trancas International Films,USA,Dwight H. Little,Horror,R,Donald Pleasence,Dhani Lipsius
Morgan Creek Productions,USA,Christopher Cain,Action,R,Emilio Estevez,John Fusco
Carolco Pictures,USA,Walter Hill,Action,R,Arnold Schwarzenegger,Walter Hill
Night Life Inc.,USA,Donald Petrie,Comedy,R,Annabeth Gish,Amy Holden Jones
Carolco Pictures,USA,Peter MacDonald,Action,R,Sylvester Stallone,David Morrell
Paramount Pictures,Canada,Jonathan Kaplan,Drama,R,Kelly McGillis,Tom Topor
Universal Pictures,Canada,Martin Scorsese,Drama,R,Willem Dafoe,Nikos Kazantzakis
New Line Cinema,USA,John Waters,Comedy,PG,Sonny Bono,John Waters
